Posicao;DTPOSICAO;I_Est_Def12m_PES_FINAL;Rating_Final_Corrected;Score_Corrected;undrawn;R_ST;DES1;DES2;DES3;DES4;DES5;DES6
201012;31DEC2010:00:00:00;0;bb;6.21;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;b;7.62;Undrawn;Unrated;1;0;0;0;0;b
201012;31DEC2010:00:00:00;1;ccc+;8.29;Drawn;Unrated;1;1;0;0;0;ccc+
201012;31DEC2010:00:00:00;0;bb+;5.96;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;a-;3.51;Undrawn;Unrated;1;0;0;0;0;a-
201012;31DEC2010:00:00:00;0;bb;6.61;Undrawn;Unrated;1;0;0;0;0;bb
201012;31DEC2010:00:00:00;0;MISSING;;Undrawn;Rated;1;0;1;1;0;MISSING
201012;31DEC2010:00:00:00;0;b+;7.5;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bb;6.7;Undrawn;Unrated;1;0;0;0;0;bb
201012;31DEC2010:00:00:00;0;b+;7.41;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;b-;8.05;Drawn;Unrated;1;1;0;0;0;b-
201012;31DEC2010:00:00:00;0;bb;6.21;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;bb;6.58;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;b+;7.5;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bb+;5.66;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bb;6.7;Undrawn;Unrated;1;0;0;0;0;bb
201012;31DEC2010:00:00:00;0;bb;6.21;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;bbb;4;Undrawn;Unrated;1;0;0;0;0;bbb
201012;31DEC2010:00:00:00;0;bbb-;4.51;Undrawn;Unrated;1;0;0;0;0;bbb-
201012;31DEC2010:00:00:00;0;b;7.86;Drawn;Unrated;1;1;0;0;0;b
201012;31DEC2010:00:00:00;0;bb;6.5;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;bb+;5.77;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bb-;6.82;Undrawn;Unrated;1;0;0;0;0;bb-
201012;31DEC2010:00:00:00;0;bb;6.21;Undrawn;Unrated;1;0;0;0;0;bb
201012;31DEC2010:00:00:00;0;bb+;6.03;Undrawn;Unrated;1;0;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bb+;5.52;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;b+;7.19;Undrawn;Unrated;1;0;0;0;0;b+
201012;31DEC2010:00:00:00;0;bbb-;4.68;Drawn;Unrated;1;1;0;0;0;bbb-
201012;31DEC2010:00:00:00;0;bb+;5.5;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;b;7.77;Drawn;Unrated;1;1;0;0;0;b
201012;31DEC2010:00:00:00;0;MISSING;;Drawn;Rated;1;1;1;1;1;MISSING
201012;31DEC2010:00:00:00;0;bb+;5.6;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bb+;5.77;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;b+;7.57;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bb-;7.05;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;b+;7.59;Undrawn;Unrated;1;0;0;0;0;b+
201012;31DEC2010:00:00:00;0;bb;6.21;Undrawn;Unrated;1;0;0;0;0;bb
201012;31DEC2010:00:00:00;0;bb-;7.13;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;bb+;6.09;Undrawn;Unrated;1;0;0;0;0;bb+
201012;31DEC2010:00:00:00;0;b;7.64;Drawn;Unrated;1;1;0;0;0;b
201012;31DEC2010:00:00:00;0;a-;3.5;Drawn;Unrated;1;1;0;0;0;a-
201012;31DEC2010:00:00:00;0;ccc+;8.77;Drawn;Unrated;1;1;0;0;0;ccc+
201012;31DEC2010:00:00:00;0;bb-;7.07;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;bb-;7.02;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;bb+;6;Undrawn;Unrated;1;0;0;0;0;bb+
201012;31DEC2010:00:00:00;0;b+;7.25;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bb+;5.63;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bb+;5.63;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bbb+;3.68;Undrawn;Unrated;1;0;0;0;0;bbb+
201012;31DEC2010:00:00:00;0;bb-;6.92;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;b+;7.19;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bbb-;4.51;Drawn;Unrated;1;1;0;0;0;bbb-
201012;31DEC2010:00:00:00;0;bb-;6.85;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;ccc+;8.25;Drawn;Unrated;1;1;0;0;0;ccc+
201012;31DEC2010:00:00:00;0;bb;6.7;Drawn;Unrated;1;1;0;0;0;bb
201012;31DEC2010:00:00:00;0;MISSING;;Drawn;Rated;1;1;1;1;1;MISSING
201012;31DEC2010:00:00:00;0;b+;7.5;Drawn;Unrated;1;1;0;0;0;b+
201012;31DEC2010:00:00:00;0;bbb-;4.55;Drawn;Unrated;1;1;0;0;0;bbb-
201012;31DEC2010:00:00:00;0;bb-;7;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;bb+;5.66;Drawn;Unrated;1;1;0;0;0;bb+
201012;31DEC2010:00:00:00;0;bbb;4;Drawn;Unrated;1;1;0;0;0;bbb
201012;31DEC2010:00:00:00;0;MISSING;;Drawn;Rated;1;1;1;1;1;MISSING
201012;31DEC2010:00:00:00;0;bb-;6.99;Drawn;Unrated;1;1;0;0;0;bb-
201012;31DEC2010:00:00:00;0;ccc+;8.68;Drawn;Unrated;1;1;0;0;0;ccc+
201012;31DEC2010:00:00:00;0;b+;7.5;Drawn;Unrated;1;1;0;0;0;b+
